,id,_id,address,asn,cc,prefix,rir
0,25355,59b174f8cff87b000d699267,2c0f:feb0:b:1::8,37100.0,ZA,2c0f:feb0::/32,AFRINIC
1,13758,59b174f8cff87b000d699268,2a01:410:2:91:a2f3:c1ff:fec4:690c,30844.0,ZM,2a01:410:2::/48,AFRINIC
2,10507,59b174f8cff87b000d699269,2001:5014:301:0:a2f3:c1ff:fec4:48f5,1273.0,US,2001:5000::/21,ARIN
3,28321,59b174f8cff87b000d69926a,2605:a000:1302:80bc:f6f2:6dff:fe5d:c6d8,10796.0,US,2605:a000::/32,ARIN
4,15122,59b174f8cff87b000d69926b,2a03:21c0:0:20c::2,41722.0,RU,2a03:21c0::/32,RIPE NCC
5,16300,59b174f8cff87b000d69926c,2001:67c:670:203:6666:b3ff:fec5:e56,201824.0,DE,2001:67c:670::/48,RIPE NCC
6,30478,59b174f8cff87b000d69926d,2406:3c80:1:6::2,17747.0,IN,2406:3c80:1::/48,APNIC
7,22452,59b174f8cff87b000d69926e,2001:500:a:500:ea94:f6ff:fee3:70d4,13901.0,JP,2001:500:a::/48,APNIC
8,25777,59b174f8cff87b000d69926f,2800:810:43e:8410:c66e:1fff:fe39:4eca,27747.0,AR,2800:810::/28,LACNIC
9,18019,59b174f8cff87b000d699270,2001:13e0:6000:132::2,262178.0,DO,2001:13e0:6000:132::/64,LACNIC
10,18334,59b174f8cff87b000d699271,2800:a010:500:2:ea94:f6ff:fe48:5c82,19192.0,VE,2800:a010::/32,LACNIC
11,28117,59b174f8cff87b000d699272,2800:a4:824:1f00:f6f2:6dff:fe5d:a9ac,6057.0,UY,2800:a4:800::/39,LACNIC
12,18371,59b174f8cff87b000d699273,2001:1388:604:4aff:c24a:ff:fecc:6844,6147.0,PE,2001:1388:604::/47,LACNIC
13,12804,59b174f8cff87b000d699274,2803:7000:3000:4c6:a2f3:c1ff:fec4:5ad5,52362.0,GT,2803:7000:3000::/36,LACNIC
14,30030,59b174f8cff87b000d699275,2001:1210:100:210:ee08:6bff:fe73:286a,2549.0,MX,2001:1210::/32,LACNIC
15,30045,59b174f8cff87b000d699276,2803:d480:0:80::3d58,8053.0,VE,2803:d480::/32,LACNIC
16,30100,59b174f8cff87b000d699277,2800:270:c::126,26610.0,CL,2800:270::/32,LACNIC
17,30101,59b174f8cff87b000d699278,2804::cafe:a62b:b0ff:fee0:610,2716.0,BR,2804::/32,LACNIC
18,31458,59b174f8cff87b000d699279,2800:6f0:0:4:a62b:b0ff:fee0:14e8,20207.0,AR,2800:6f0::/40,LACNIC
19,15253,59b174f8cff87b000d69927a,2801:0:140:8:6666:b3ff:fe93:ff38,52314.0,AR,2801:0:140::/48,LACNIC
20,15262,59b174f8cff87b000d69927b,2801:10::fe70,28068.0,AR,2801:10::/48,LACNIC
21,12160,59b174f8cff87b000d69927c,2800:af:c9d9:969a:fa1a:67ff:fe4d:7659,6057.0,UY,2800:ae::/31,LACNIC
22,15271,59b174f8cff87b000d69927d,2001:1318:400:0:6666:b3ff:feb0:d110,3597.0,AR,2001:1318::/32,LACNIC
23,12808,59b174f8cff87b000d69927e,2801:82:0:2:a2f3:c1ff:fec4:47c6,10881.0,BR,2801:82::/33,LACNIC
24,25509,59b174f8cff87b000d69927f,2001:13c7:6f07:a1:eade:27ff:fec9:7208,27814.0,EC,2001:13c7:6f07::/48,LACNIC
25,27142,59b174f8cff87b000d699280,2804:d51:271d:a901:16cc:20ff:fe48:d3ae,8167.0,BR,2804:d50::/28,LACNIC
26,31355,59b174f8cff87b000d699281,2806:21a:1:1:f6f2:6dff:fe5d:ce9a,262913.0,MX,2806:21a::/40,LACNIC
27,32937,59b174f8cff87b000d699282,2804:1cc:0:1:1ad6:c7ff:fe2a:4c6,28130.0,BR,2804:1cc::/32,LACNIC
28,11315,59b174f8cff87b000d699283,2804:224::28,262792.0,BR,2804:224::/32,LACNIC
29,11251,59b174f8cff87b000d699284,2800:a4:1400:6b00:a2f3:c1ff:fec4:4900,6057.0,UY,2800:a4:1400::/39,LACNIC
30,11760,59b174f8cff87b000d699285,2800:a4:201:eb00:fa1a:67ff:fe4d:7c85,6057.0,UY,2800:a4:200::/39,LACNIC
31,16576,59b174f8cff87b000d699286,2001:1320:0:f000:6666:b3ff:fed1:15e6,27733.0,PY,2001:1320::/32,LACNIC
32,17936,59b174f8cff87b000d699287,2801:1e:4007:23:6666:b3ff:fec5:7b4,262266.0,AR,2801:1e:4000::/45,LACNIC
33,13663,59b174f8cff87b000d699288,2804:8:0:100::60,14840.0,BR,2804:8::/30,LACNIC
34,23573,59b174f8cff87b000d699289,2800:68:10:caca:16cc:20ff:fef8:b21e,61468.0,EC,2800:68:10::/48,LACNIC
35,31449,59b174f8cff87b000d69928a,2800:350:901:4:a62b:b0ff:fedf:fe92,11556.0,PA,2800:350::/32,LACNIC
36,21559,59b174f8cff87b000d69928b,2001:1328:9:0:ea94:f6ff:fee3:71be,1797.0,UY,2001:1328::/32,LACNIC
37,20630,59b174f8cff87b000d69928c,2804:14c:598a:6bb:c24a:ff:fecc:6ed6,28573.0,BR,2804:14c:5900::/40,LACNIC
38,27538,59b174f8cff87b000d69928d,2800:68:30:100:f6f2:6dff:fe5d:9bc6,61468.0,EC,2800:68:30::/48,LACNIC
39,21660,59b174f8cff87b000d69928e,2803:9400:a:9a78:ea94:f6ff:fee3:6fa0,27839.0,BO,2803:9400::/32,LACNIC
